,HELLO,GOODBYE,PLEASE,THANK YOU,SORRY,YES,NO,GOOD,BAD,ONE,TWO,THREE,FOUR,HAPPY,SIX,SEVEN,EIGHT,NINE,RED,BLUE,GREEN,YELLOW,ORANGE,PURPLE,BLACK,WHITE,MOTHER,FATHER,SISTER,BROTHER,BABY,FAMILY,EAT,DRINK,WANT,LIKE,LOVE,HELP,KNOW,UNDERSTAND,GO,COME,SEE,LEARN,SLEEP,TIRED,ME,YOU,WATER,HOME,SCHOOL,BOOK,NAME,WHAT,WHERE,WHO,HOW,WHY,BIG,SMALL,HOT,COLD,STOP
WATER,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.4939,0.4939,0.247,0.0,0.0,0.7409,0.4939,0.7409,0.4939,0.0,0.247,0.4939,0.4939,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.247,1.0,0.0122,0.2591,0.0122,0.5061,0.0,0.0,0.7409,0.0,0.0,0.4939,0.0,0.247,0.0,0.247
HOME,0.0,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.247,0.4939,0.0,0.0,0.0,0.247,0.4939,0.0,0.247,0.0,0.0122,1.0,0.0122,0.0122,0.0122,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.247,0.247,0.0
SCHOOL,0.0,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.247,0.0,0.247,0.0,0.0,0.247,0.4939,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.2591,0.0122,1.0,0.5061,0.753,0.247,0.247,0.0,0.4939,0.247,0.247,0.4939,0.0,0.0,0.9878
BOOK,0.0,0.247,0.247,0.7409,0.0,0.247,0.247,0.7409,0.4939,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.247,0.7409,0.4939,0.0,0.247,0.7409,0.247,0.0,0.7409,0.247,0.0,0.4939,0.4939,0.247,0.247,0.247,0.4939,0.0,0.247,0.0122,0.0122,0.5061,1.0,0.2591,0.4939,0.247,0.0,0.7409,0.4939,0.4939,0.7409,0.0,0.0,0.4939
NAME,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0,0.247,0.4939,0.4939,0.0,0.7409,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.247,0.4939,0.5061,0.0122,0.753,0.2591,1.0,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.7409
WHAT,0.247,0.7409,0.0,0.247,0.0,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.0,0.7409,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.247,0.4939,0.247,1.0,0.5061,0.0122,0.2591,0.0122,0.247,0.247,0.247,0.247,0.247
WHERE,0.247,0.7409,0.0,0.0,0.0,0.4939,0.7409,0.0,0.0,0.7409,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.247,0.7409,0.4939,0.4939,0.0,0.4939,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.7409,0.7409,0.0,0.0,0.0,0.0,0.247,0.7409,0.0,0.0,0.247,0.247,0.247,0.5061,1.0,0.0122,0.2591,0.0122,0.247,0.247,0.247,0.247,0.247
WHO,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.4939,0.4939,0.247,0.0,0.0,0.4939,0.247,0.7409,0.4939,0.0,0.247,0.247,0.4939,0.0,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7409,0.0,0.0,0.0,0.247,0.0122,0.0122,1.0,0.0122,0.0122,0.4939,0.0,0.247,0.0,0.0
HOW,0.0,0.247,0.247,0.4939,0.0,0.247,0.247,0.4939,0.7409,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.0,0.247,0.4939,0.247,0.0,0.4939,0.247,0.0,0.4939,0.4939,0.247,0.4939,0.247,0.7409,0.0,0.247,0.0,0.0,0.4939,0.7409,0.247,0.2591,0.2591,0.0122,1.0,0.5061,0.4939,0.7409,0.0,0.0,0.4939
WHY,0.247,0.0,0.4939,0.4939,0.247,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.4939,0.0,0.247,0.247,0.4939,0.4939,0.247,0.247,0.247,0.247,0.4939,0.247,0.247,0.7409,0.4939,0.247,0.247,0.4939,0.247,0.4939,0.4939,0.247,0.0,0.0,0.247,0.247,0.4939,0.0,0.0122,0.0122,0.0122,0.5061,1.0,0.247,0.7409,0.247,0.247,0.247
BIG,0.0,0.247,0.0,0.247,0.0,0.247,0.247,0.2556,0.2556,0.247,0.247,0.4939,0.4939,0.0122,0.4939,0.4939,0.4939,0.4939,0.0,0.247,0.7409,0.7409,0.247,0.4939,0.0,0.247,0.247,0.247,0.7409,0.7409,0.247,0.7409,0.0,0.4939,0.4939,0.4939,0.0,0.7409,0.0,0.0,0.4939,0.4939,0.247,0.247,0.247,0.2591,0.0,0.247,0.4939,0.0,0.247,0.4939,0.4939,0.247,0.247,0.4939,0.4939,0.247,1.0,0.5061,0.0122,0.0122,0.247
SMALL,0.0,0.247,0.4939,0.4939,0.247,0.247,0.247,0.5025,0.5025,0.247,0.247,0.247,0.247,0.5061,0.247,0.247,0.247,0.247,0.247,0.4939,0.247,0.247,0.0,0.247,0.0,0.4939,0.0,0.0,0.247,0.247,0.4939,0.4939,0.247,0.247,0.4939,0.4939,0.247,0.4939,0.4939,0.247,0.4939,0.4939,0.247,0.247,0.4939,0.5061,0.247,0.247,0.0,0.247,0.4939,0.7409,0.247,0.247,0.247,0.0,0.7409,0.7409,0.5061,1.0,0.2591,0.2591,0.4939
HOT,0.0,0.247,0.247,0.247,0.247,0.0,0.0,0.2556,0.2556,0.0,0.0,0.0,0.0,0.2591,0.0,0.0,0.0,0.0,0.4939,0.247,0.247,0.247,0.4939,0.247,0.0,0.247,0.247,0.0,0.247,0.0,0.0,0.0,0.4939,0.4939,0.0,0.247,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.0122,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.247,0.247,0.247,0.0,0.247,0.0122,0.2591,1.0,0.5061,0.0
COLD,0.0,0.247,0.4939,0.0,0.7409,0.247,0.0,0.0086,0.0086,0.0,0.0,0.0,0.0,0.5061,0.0,0.0,0.0,0.0,0.247,0.247,0.247,0.247,0.0,0.247,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.0,0.0,0.4939,0.7409,0.0,0.247,0.4939,0.0,0.0,0.0,0.0,0.247,0.2591,0.4939,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0122,0.2591,0.5061,1.0,0.0
STOP,0.0,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.2591,0.0122,0.2591,0.0122,0.0122,0.2591,0.5061,0.0122,0.2591,0.2591,0.2591,0.0122,0.0122,0.247,0.247,0.4939,0.247,0.0,0.9878,0.4939,0.7409,0.247,0.247,0.0,0.4939,0.247,0.247,0.4939,0.0,0.0,1.0
