split,gloss,clip_id,n_frames
train,SIX,2850100795370789-SIX,17
train,LIKE,030195387372940363-LIKE,22
test,GOOD,6983847344301657-GOOD,25
val,BLACK,07599384998068448-BLACK,22
test,BABY,7661330080789426-BABY,43
test,MOTHER,14661507159729847-MOTHER,20
test,BOOK,7868496581211555-BOOK,17
train,GOODBYE,9729998715398667-BYE,52
test,PLEASE,3584447878251358-PLEASE,12
test,NINE,5907512259486958-NINE,32
test,LEARN,4444322995832739-LEARN,47
val,LEARN,3587550824558683-LEARN,27
train,YOU,08882787638193945-YOU,23
train,FAMILY,1290362005086354-FAMILY,18
test,DRINK,21698877434119446-DRINK,17
test,THREE,09693372376591869-THREE,30
val,ORANGE,01189922711308622-ORANGE,27
train,FOUR,17172246079778142-FOUR,15
train,HOME,34171081267318204-HOME,40
train,COLD,9912276588256546-COLD,37
test,GOOD,971622461215417-GOOD,26
train,LIKE,23961420213829476-LIKE,24
train,THANK YOU,031705941185190545-THANK YOU,18
train,BROTHER,46485000872838267-BROTHER,25
train,HELP,9437772948180145-HELP,18
val,SMALL,5307142627482293-SMALL,15
test,PLEASE,9697873113607589-PLEASE,29
train,EAT,30148795754394175-EAT,16
train,STOP,815577675920792-STOP,25
test,THANK YOU,9962081495357855-THANK YOU,30
train,WHITE,19034184972647705-WHITE,26
test,ME,5968816675394137-ME,32
train,HOT,7416561706981699-HOT,18
train,GOODBYE,7072634397394595-BYE,18
test,KNOW,08948222222557001-KNOW,13
val,LOVE,20482432773002457-LOVE,40
train,SIX,7156815666797753-SIX,15
train,STOP,08870380386555654-STOP,18
val,BROTHER,9554413278323899-BROTHER,42
train,NAME,20739960328931106-NAME,21
train,SORRY,62778761952392-SORRY,25
train,NINE,5650868043704504-NINE,19
test,ORANGE,15315539305598747-ORANGE,27
test,BLACK,562916423636417-BLACK,47
train,FAMILY,6333838161696508-FAMILY,18
test,YOU,6436088371555648-YOU,11
val,WHERE,19532533865671398-WHERE,15
test,KNOW,6635155508761357-KNOW,26
test,EAT,41461171624603455-EAT,14
train,GREEN,2792895407119611-GREEN,18
train,HAPPY,5407375828723797-HAPPY,22
test,BIG,057757538512823725-BIG,28
test,SEE,27829246360194815-SEE,52
train,HOW,7666802297995068-HOW,26
val,SCHOOL,24442962392359258-SCHOOL,43
train,STOP,1461467422069449-STOP,31
test,COLD,5656596623886962-COLD,19
test,BIG,0017391516388771677-BIG,15
test,BAD,300065378201829-BAD,46
train,SISTER,9049167353256697-seedSISTER,52
val,COLD,39072948576699607-COLD,57
test,SIX,8867006272624613-SIX,33
train,GOOD,7633870830493861-GOOD,33
train,NAME,03294491784477094-seedNAME,50
train,GOODBYE,9404479880375034-BYE,37
test,WHY,6217493782065597-WHY,22
test,THANK YOU,4624064779710624-THANK YOU,21
train,UNDERSTAND,6745834273988278-UNDERSTAND,19
test,SIX,046585146920706366-SIX,16
train,WHAT,43147199471175535-seedWHAT 2,34
test,LIKE,07790071532440357-LIKE,32
test,YES,029563612799205163-YES,25
train,GREEN,1891233090437121-GREEN,21
test,KNOW,6688223256394381-KNOW,30
train,BROTHER,9457188046017566-BROTHER,48
train,LOVE,9377899064716586-LOVE,74
train,BLUE,19201583142863732-BLUE,17
test,SEE,6255356009761448-SEE,7
test,HOT,6956239348425071-HOT,12
val,TIRED,13289073725295975-TIRED,20
test,WHITE,649752026549048-WHITE,28
train,NAME,9851992475740963-NAME,31
test,NO,46074251080029494-NO,23
train,STOP,35024304836544506-STOP,23
train,THANK YOU,06476990357042611-THANK YOU,20
train,NO,5309657970849855-NO,32
test,NINE,5547021297445855-NINE,14
train,BROTHER,4684116630451267-BROTHER,26
val,YELLOW,09620070749870502-YELLOW,18
train,SEVEN,6751966585966453-SEVEN,17
test,WHITE,06851295459869067-WHITE,14
train,HOT,23047642101573373-HOT,16
test,YELLOW,41834710024392185-YELLOW,12
train,HELP,1512241224851143-HELP,32
val,BIG,38002628149786877-BIG,21
train,BIG,11499358307656138-BIG,44
test,BABY,29465488407648976-BABY,29
test,WATER,25669396550888335-WATER,23
val,RED,7472746857948949-RED,18
train,DRINK,2597508467759426-DRINK,19
train,BIG,3622847632586421-BIG,31
train,SCHOOL,9528626762979313-SCHOOL,26
train,WHERE,9317687529080529-WHERE,25
test,EAT,550827298682977-EAT,26
test,HAPPY,45071669451713814-HAPPY,14
train,BROTHER,6657630771535601-BROTHER,23
train,WATER,7176990560462237-WATER,23
test,WHO,8795571081681577-WHO,26
train,SEE,4342737241901915-SEE,26
train,LIKE,2935343968735329-LIKE,21
test,SISTER,9148499162975554-SISTER,14
train,FOUR,5237841416193414-FOUR,14
test,TIRED,6581168309162115-TIRED,39
test,GOOD,04311614622944249-GOOD,34
val,HOME,049094629596487804-HOME,56
test,MOTHER,733944694272519-MOTHER,36
val,UNDERSTAND,6504234134902995-UNDERSTAND,18
train,SLEEP,8262299304164866-SLEEP,37
test,GREEN,7135369459309966-GREEN,29
val,WHITE,5748285380978266-WHITE,23
train,ME,6421087005073287-ME,25
test,BOOK,36769094303755834-BOOK,31
test,MOTHER,513364294341683-MOTHER,27
train,WHY,41986547104124017-WHY,26
train,SCHOOL,3380520143388104-SCHOOL,32
train,ORANGE,8546219501477439-ORANGE,24
train,HELP,7616988400005291-HELP,42
val,PLEASE,4096147054343935-PLEASE,19
train,KNOW,8723506669377621-KNOW,18
train,THANK YOU,15769775934939156-THANK YOU,17
train,KNOW,5769834749413745-KNOW,19
val,BLUE,7298861314397587-BLUE,18
test,HOW,670019265660998-HOW,53
test,ORANGE,5740258611345785-ORANGE,27
test,BLACK,24431720294874792-BLACK,25
train,BROTHER,010035178979511006-BROTHER,28
train,WHERE,9574229853297838-WHERE,29
val,KNOW,23597714310638485-KNOW,16
train,THREE,47087723012105354-THREE,15
val,SLEEP,5103688507862052-SLEEP,55
train,WHAT,21224944864749995-WHAT 2,16
train,WATER,6216809763132565-WATER,15
test,GOODBYE,32542343160867326-BYE,10
train,BIG,0010547472856581308-BIG,27
train,PLEASE,9960146118001314-PLEASE,19
test,HOME,5902741029270153-HOME,11
test,GOODBYE,17487361670794144-BYE,16
test,WHAT,8745067191819265-WHAT 2,50
test,GO,7100160952925088-GO,13
test,THANK YOU,936211950052861-THANK YOU,24
train,SEVEN,42045018312776294-SEVEN,17
test,GREEN,15587296563996822-GREEN,13
train,NAME,4290157295522645-NAME,17
train,NINE,4107370316562351-NINE,13
train,SLEEP,35188429123944-SLEEP,23
test,FATHER,0031311305138936874-FATHER,25
train,WHAT,5384324732130294-WHAT 2,15
train,WHY,2565336440424879-WHY,16
train,YELLOW,7418828858707194-seedYELLOW,39
train,ORANGE,010737991316382534-ORANGE,14
train,EIGHT,12846815344591667-EIGHT,14
train,BLACK,9250337733512255-BLACK,41
train,BIG,62983148818386-BIG,18
train,EIGHT,822555089378302-EIGHT,19
train,SCHOOL,31124426927980275-seedSCHOOL,47
train,HOME,9434996660694719-HOME,18
train,NINE,41699711447604804-NINE,19
train,UNDERSTAND,6424637597161564-UNDERSTAND,15
val,FAMILY,16004917375203398-FAMILY,21
test,EAT,7910128481289247-EAT,25
test,SMALL,546045102054808-SMALL,57
train,FATHER,19495528192299982-FATHER,24
test,THREE,024827291322842227-THREE,25
train,EIGHT,12564800044567526-EIGHT,18
train,WHERE,17354191997018575-WHERE,23
train,NINE,8989506712887576-NINE,24
train,ONE,5739046320667345-ONE,67
train,MOTHER,10278942340284503-MOTHER,27
val,WHITE,23198740707187815-WHITE,41
train,STOP,07893366237759558-STOP,25
train,WATER,4617924298797549-seedWATER,57
train,ME,5691724461344478-ME,30
test,BABY,057527242620470265-BABY,28
test,GO,26737390960725627-GO,20
train,HOW,2861187051971712-HOW,24
test,WHAT,16203881271680576-WHAT 2,35
test,FOUR,6805373308766427-FOUR,15
val,SIX,8676304528363552-SIX,20
val,HOT,20951385475100537-HOT,36
train,PLEASE,04515307711600891-PLEASE,20
test,UNDERSTAND,40156343723600907-UNDERSTAND,12
test,HOT,3226049524969481-HOT,19
test,ORANGE,1379963264598485-ORANGE,31
val,LIKE,8042345903835753-LIKE,17
val,WHERE,6997365376367899-WHERE,40
test,TIRED,12765322193107487-TIRED,23
train,BROTHER,049689800905120096-seedBROTHER,56
test,SORRY,1812960858393966-SORRY,25
val,YES,9715589334909431-YES,16
train,SISTER,697764467890001-SISTER,17
val,GOOD,25290749191933815-GOOD,20
test,PURPLE,8299290667631187-PURPLE,13
train,WHAT,531692335723785-WHAT 2,28
test,YELLOW,1447490917413885-YELLOW,17
test,BLACK,6504039194102542-BLACK,37
train,YELLOW,8474387397013008-YELLOW,27
train,ONE,8159890685869593-ONE,33
train,HELP,9483688560737478-HELP,17
train,COME,010997145882042814-seedCOME,35
train,EIGHT,8620925796823589-seedEIGHT,33
test,BIG,6290782674186028-BIG,15
val,WHITE,21947947473280904-WHITE,16
train,DRINK,03800598663017607-DRINK,23
train,GO,30544213991231106-GO,23
train,YELLOW,13208623282049303-YELLOW,16
train,BLUE,5448422843919118-seedBLUE,33
test,WHAT,0902884729181257-WHAT 2,15
train,TWO,5103247380926332-TWO,26
train,BABY,5285250146241007-BABY,23
test,TWO,32275763791411505-TWO,13
train,DRINK,6196253651803971-DRINK,20
train,EAT,36220708618174635-seedEAT,49
test,SORRY,5157432639091493-SORRY,14
test,WANT,6070369210988702-WANT 2,25
test,PLEASE,49277089703101806-PLEASE,20
train,RED,876313952795297-RED,27
train,WHERE,8969965061622676-WHERE,15
test,BAD,9739528719901436-BAD,18
train,YELLOW,8266474432111652-YELLOW,13
test,FOUR,25892481995213434-FOUR,18
test,EAT,8917441625336839-EAT,50
train,PLEASE,95072139344285-PLEASE,23
test,BOOK,8799845932622608-BOOK,25
test,HOT,9098726585421435-HOT,16
test,HAPPY,2216376211975324-HAPPY,36
train,PLEASE,18053723532999788-PLEASE,33
test,TIRED,021082697826027008-TIRED,26
test,COME,7589467495928648-COME,32
test,SMALL,7541924892936593-SMALL,23
train,SLEEP,24289224539723375-SLEEP,19
val,EAT,0392835216734122-EAT,18
train,HOME,5752718369643628-HOME,16
test,SISTER,5466921822613424-SISTER,21
train,BOOK,9654484282818483-BOOK,25
train,BLACK,12188761773493884-BLACK,18
train,NAME,68008701658875-NAME,52
train,LEARN,2918614747304418-LEARN,25
test,GOODBYE,38351738059429663-BYE,13
train,SEE,05469295194551127-SEE,26
train,SISTER,42910870583344485-SISTER,16
train,MOTHER,1825200902929398-MOTHER,14
test,SLEEP,00792407895198255-SLEEP,21
val,KNOW,5806315363119019-KNOW,44
test,BROTHER,27192113557186715-BROTHER,34
train,STOP,787967286498557-STOP,13
test,GREEN,2556710153069994-GREEN,19
val,LOVE,2631901034056372-LOVE,38
train,WHERE,37418457822538387-WHERE,18
train,GREEN,2629996520868716-GREEN,16
train,TWO,3283395665440456-seedTWO,57
val,PURPLE,12345398384486539-PURPLE,17
val,FATHER,9713909110606633-FATHER,28
train,THREE,7118360587719839-THREE,23
test,SEE,24400211790159076-SEE,17
test,WHERE,8728839222341029-WHERE,14
test,HOW,9935032342175718-HOW,28
train,NAME,07550237967516482-NAME,20
train,BLUE,8390642529013135-BLUE,22
test,HOW,12045635816655964-HOW,12
test,THREE,5391945071870843-THREE,16
val,TIRED,3766457519527884-TIRED,35
test,RED,9433341715370007-RED,33
train,BROTHER,22666524686508982-BROTHER,17
train,SISTER,49624243979650506-SISTER,45
test,SLEEP,4923077555439661-SLEEP,55
train,SORRY,7256673521593155-SORRY,28
train,FATHER,5083805087745334-FATHER,26
val,WHITE,14684615781592747-WHITE,36
test,BOOK,16644724898055996-BOOK,34
train,BOOK,8258920636382685-BOOK,21
test,BROTHER,4773618388112417-BROTHER,18
train,FAMILY,24482553688438768-FAMILY,45
train,BLACK,21793575059728565-BLACK,25
test,LEARN,16786202092656866-LEARN,17
val,BIG,5329041608568317-BIG,19
train,BOOK,27449508901283615-BOOK,30
test,WHITE,8692725148915736-WHITE,34
test,SEE,7388949176785318-SEE,25
test,COME,34581625896023915-COME,14
test,KNOW,5444162139741568-KNOW,18
test,LOVE,4243347380620037-LOVE,72
test,BROTHER,33343477219844675-BROTHER,24
train,EIGHT,25607543181339754-EIGHT,22
test,GO,22762374635521176-GO,28
test,MOTHER,6448721666124038-MOTHER,11
train,HELLO,1340650432799635-HELLO,13
test,BLUE,5646306760457318-BLUE,19
train,YES,050364485120873326-YES,89
train,HOW,22306165813631562-HOW,16
test,WHY,36979047566586587-WHY,13
train,BABY,4509762240844022-BABY,30
train,HAPPY,9745449040953389-HAPPY,22
train,HOW,8370733641565598-HOW,26
train,SISTER,29583483206366723-SISTER,46
test,BAD,8834295053246077-BAD,14
val,HELLO,05614933522741539-HELLO,18
train,ORANGE,3132959396765318-ORANGE,33
test,THANK YOU,6788237257016723-THANK YOU,30
train,HOW,03376426509046859-HOW,22
test,GREEN,423338670903896-GREEN,28
train,SEVEN,9985745932254821-SEVEN,18
train,THANK YOU,021145910536055412-THANK YOU,30
test,GREEN,1675036978582043-GREEN,33
test,THREE,0711184630196986-THREE,19
train,RED,5050629133586628-RED,18
val,TWO,9864077306479329-TWO,38
train,DRINK,9694895312894787-DRINK,41
val,WHAT,24519151833954478-WHAT 2,30
train,TIRED,13028722721040342-TIRED,19
train,SEE,5211790905432687-SEE,26
train,ORANGE,10351956164621146-ORANGE,23
test,COME,7403167170909308-COME,17
val,TIRED,46893704717360163-TIRED,38
train,TWO,6932057977804538-TWO,17
train,NAME,7743830371689544-NAME,27
train,WANT,8485035331460282-WANT 2,23
test,WHERE,41673665309194896-WHERE,12
train,LIKE,6408927707140595-LIKE,19
train,SEVEN,5664542155167094-SEVEN,21
val,STOP,7757946316597986-STOP,20
test,HELP,3000270038189985-HELP,24
test,NINE,5361878284892854-NINE,9
train,COLD,6864880477398156-COLD,34
test,THANK YOU,9701695309294336-THANK YOU,26
train,YELLOW,5787771149094942-YELLOW,31
train,EIGHT,8242184608341026-EIGHT,22
test,WHERE,3227845753007452-WHERE,19
test,LEARN,6102529420840566-LEARN,33
val,BABY,7013330493682821-BABY,43
train,PURPLE,7150145277811628-PURPLE,18
train,COLD,6256497117761755-COLD,19
train,PURPLE,15882442052695578-PURPLE,21
train,BABY,31011518069836197-BABY,24
train,YELLOW,9884635050419721-YELLOW,19
train,HELLO,0755679379568106-HELLO,19
train,STOP,9586306157625994-STOP,19
train,GO,41579421019094553-GO,21
train,ORANGE,12309075517420354-ORANGE,22
test,SEVEN,21709379939795226-SEVEN,8
val,PLEASE,6330094542104612-PLEASE,43
train,BLUE,8347598608932822-BLUE,29
test,EAT,5882347360908131-EAT,12
train,BAD,27067652476321635-BAD,22
test,BAD,9411549614200669-BAD,14
test,SEVEN,9207914497818137-SEVEN,14
test,SORRY,14951164356135682-SORRY,21
test,FOUR,41601861190959255-FOUR,32
test,MOTHER,5512725423274552-MOTHER,33
test,BROTHER,11971365576674886-BROTHER,32
val,TWO,4532472803219878-TWO,16
train,WATER,40723216723050504-WATER,13
test,BIG,39731854478846107-BIG,39
test,KNOW,8443975795179439-KNOW,24
test,GOODBYE,5631016440125773-BYE,19
test,FOUR,03928951724201202-FOUR,30
test,SLEEP,8841729385815713-SLEEP,32
test,HELLO,7027473793210652-HELLO,28
test,ME,16214681742267878-ME,52
train,YOU,6515372118413638-YOU,20
test,HOME,676739603328083-HOME,18
test,THANK YOU,09460259361998125-THANK YOU,31
test,SMALL,264956268697103-SMALL,28
train,WATER,7276443456531434-WATER,44
val,GO,3702604002311216-GO,41
val,NINE,3878641308648656-NINE,24
train,GOODBYE,6785992819227267-BYE,17
test,THANK YOU,16270426237316316-THANK YOU,12
val,ME,35429744496101856-ME,18
train,SMALL,823557454867716-SMALL,13
train,FAMILY,23627306204455656-FAMILY,33
test,FAMILY,014105352996913512-FAMILY,42
test,HOW,8436415241829844-HOW,29
val,BOOK,21653364727074398-BOOK,20
test,SEVEN,4385197479528271-SEVEN,13
train,EAT,5237431195885818-EAT,28
train,WHY,17485211510665932-WHY,28
val,SORRY,9220637121525757-SORRY,27
train,BAD,8500068040222597-BAD,26
val,STOP,4382853991304725-STOP,17
test,SCHOOL,4838074686766505-SCHOOL,32
test,PLEASE,7315727436787696-PLEASE,25
val,HOT,3200787903337785-HOT,18
test,FAMILY,7036678767451288-FAMILY,20
train,NAME,8850902951414901-NAME,24
test,FOUR,26271774203606957-FOUR,33
train,BROTHER,6500641946617272-BROTHER,18
val,BAD,06939945586940688-BAD,38
train,EIGHT,8743934496642185-EIGHT,12
test,MOTHER,08810573270861677-MOTHER,26
train,ONE,06563256757315261-ONE,16
train,ME,0035172227152260316-ME,19
train,WHITE,16027634949398117-WHITE,23
test,BROTHER,6148848861012457-BROTHER,45
train,YELLOW,9604971098957251-YELLOW,19
train,RED,4683181875389255-RED,22
train,THREE,8255139486314145-THREE,26
test,HAPPY,5034275121580125-HAPPY,36
test,ME,4318620777117368-ME,18
test,BLUE,06848483812177042-BLUE,7
train,COME,3537345851274545-COME,19
val,LIKE,11163894424136789-LIKE,19
val,WHO,8040413047655517-WHO,21
train,SEE,7869034994705406-SEE,26
train,GOOD,9875735466160431-GOOD,16
val,SEE,6449291006787454-SEE,20
test,LOVE,9533808785286948-LOVE,30
train,KNOW,11994695058883398-KNOW,30
train,SIX,41082539286499786-SIX,25
train,NAME,5949494391929417-NAME,17
train,GREEN,18697877522861095-GREEN,16
train,FOUR,25760632227411073-seedFOUR,51
train,WHERE,09379414966671162-WHERE,26
train,WHITE,9562733045073122-WHITE,19
test,SEE,8596007602362212-SEE,32
val,WANT,9085692028177397-WANT 2,16
val,HOW,10542513580735968-HOW,22
train,FATHER,8247913651486547-FATHER,44
train,TIRED,2572306090941583-TIRED,34
test,SORRY,7585555932220547-SORRY,39
test,HELP,9702910950898831-HELP,18
train,HOT,9735032443497869-HOT,26
train,HOT,11707369231650211-HOT,15
train,YES,9953610281521326-YES,222
val,GO,5587884729767747-GO,20
train,SEVEN,2965219491506226-seedSEVEN,36
train,WHITE,7355454272708466-WHITE,25
test,HELLO,16501735528077632-HELLO,22
test,FAMILY,452008504354493-FAMILY,23
train,GO,47175728440552755-GO,29
train,COME,9733473831041732-COME,23
train,LIKE,6108042704274992-LIKE,13
train,FATHER,5683249939832291-FATHER,23
train,WATER,6842760193004458-WATER,22
test,SISTER,901672273971045-SISTER,34
test,NO,08228267952066615-NO,37
train,FOUR,8646183940873451-FOUR,50
train,WHAT,027816838285841916-WHAT 2,27
val,ME,4372505087382914-ME,30
test,ME,5289028229164205-ME,23
train,BAD,16659435197682293-BAD,20
test,GO,5446297670875129-GO,27
test,NAME,7459516150734173-NAME,26
train,THANK YOU,034197610787212396-THANK YOU,14
train,ONE,2621867988808324-ONE,29
train,TWO,14502147506594976-TWO,21
train,YES,8699610978899361-YES,19
test,HELLO,7648996670040624-HELLO,27
train,LIKE,7921297303573938-LIKE,29
test,UNDERSTAND,40550375821025386-UNDERSTAND,14
train,NO,6901051427765104-NO,16
train,HOME,4911600925607411-HOME,53
val,KNOW,8084325176169471-KNOW,12
test,LEARN,21972136101865503-LEARN,34
test,NO,8920807082520505-NO,23
train,LIKE,3221250728567113-LIKE,35
test,UNDERSTAND,1376861841044581-UNDERSTAND,27
train,SLEEP,7642314470248142-SLEEP,58
val,WATER,9850177164607337-WATER,21
test,NO,5278795760893484-NO,35
test,ME,5834482146577376-ME,17
test,BROTHER,4315928891640657-BROTHER,17
val,MOTHER,29045877663385156-MOTHER,40
train,NO,9644130188424822-NO,20
train,THREE,8904744435710559-THREE,27
train,HELLO,25802117645943423-HELLO,34
val,HAPPY,6098755056170255-HAPPY,28
test,SMALL,09078322149673279-SMALL,25
train,RED,12304331183386186-RED,21
test,RED,6332452979709653-RED,37
test,YOU,4615046990058205-YOU,24
test,DRINK,09371248383875841-DRINK,35
train,PURPLE,03796928114028275-PURPLE,19
test,GO,8187982746646938-GO,37
train,WHO,5344192765643432-WHO,21
test,STOP,38330302294288865-STOP,35
test,ME,1506254664622797-ME,24
train,WANT,8336503418129162-WANT 2,35
test,WHO,10251163827204302-WHO,28
test,HAPPY,8705278781240162-HAPPY,25
test,SMALL,8840554456240215-SMALL,31
test,SORRY,8284103400294454-SORRY,22
test,GO,4795164850135014-GO,33
val,THREE,7600984398237483-THREE,17
train,COLD,27259190630226193-COLD,17
test,ME,5400816124395869-ME,17
train,THREE,24971364861206635-THREE,37
train,BLACK,3027864137490006-BLACK,19
train,HOT,9174976347516473-HOT,19
test,TIRED,2212788384918858-TIRED,29
test,FATHER,1529301460300041-FATHER,33
train,WATER,19062537109661482-WATER,56
test,SCHOOL,35908970574329513-SCHOOL,29
train,SLEEP,016569277193326126-SLEEP,60
val,COME,2294900578606751-COME,18
train,SIX,39432446802503174-SIX,27
test,SCHOOL,3017143646154159-SCHOOL,12
train,SMALL,5446958870984302-SMALL,25
test,SEVEN,5829947040542085-SEVEN,36
train,ONE,6601537706780105-ONE,17
train,GREEN,3223491372772138-GREEN,17
train,SCHOOL,09891286692753609-SCHOOL,25
val,EAT,8779902440064791-EAT,24
train,UNDERSTAND,2621288608804102-UNDERSTAND,17
train,GREEN,30539347753669954-GREEN,20
val,EIGHT,38766975684842553-EIGHT,21
train,YES,38970444942928073-YES,19
test,WHITE,005758060810748145-WHITE,17
test,HOT,41152841117803685-HOT,31
test,KNOW,9903896454591405-KNOW,30
train,SORRY,2413023602974027-SORRY,30
val,BAD,019466731254031755-BAD,17
train,KNOW,28781278008680844-KNOW,15
val,HOME,5358205730570242-HOME,20
test,PURPLE,5678628556226701-PURPLE,18
train,NINE,08417004523761462-NINE,26
val,HOME,5938307461368451-HOME,17
train,WHO,18521627111046346-WHO,23
test,HOT,44853785617317854-HOT,31
train,TWO,9616445451619902-TWO,27
test,PURPLE,5503567055178287-PURPLE,32
test,WANT,41055086064167545-WANT 2,23
train,ORANGE,4772159982398916-ORANGE,16
train,KNOW,35480630391441204-KNOW,22
train,SCHOOL,44410022847934516-SCHOOL,25
train,BABY,0011983342543988584-BABY,57
train,SLEEP,9202711012693181-SLEEP,27
val,WHO,5788460385097332-WHO,40
val,WATER,03174577769237463-WATER,59
test,BLUE,43942790671551957-BLUE,26
test,KNOW,8067021692292493-KNOW,15
test,COLD,9555650488531451-COLD,18
val,GREEN,07543738136867639-GREEN,40
train,COME,8761272343943907-COME,30
test,SORRY,6724466474942836-SORRY,23
train,LEARN,6871798036853238-seedLEARN,47
train,WHITE,10848457531453715-WHITE,15
train,SEVEN,5584555568489951-SEVEN,17
train,PURPLE,8959126145174308-PURPLE,15
train,SISTER,43948877742808024-SISTER,19
train,PURPLE,7663168959105193-PURPLE,26
test,COLD,13808032394299397-COLD,35
val,SLEEP,9036471590989446-SLEEP,28
test,WHITE,2584277661420049-WHITE,35
train,YOU,15737752814991346-YOU,21
test,DRINK,4266956774131161-DRINK,23
train,HOT,5217798939791332-seedHOT,40
val,COME,24064885357062593-COME,22
test,UNDERSTAND,6762437534373142-UNDERSTAND,32
train,EIGHT,7792655131440007-EIGHT,28
train,BAD,06213765949527894-BAD,17
test,SEE,9479587882463862-SEE,25
test,SMALL,16530438799900593-SMALL,25
train,NO,6137110171725737-NO,24
test,WHERE,9084539059220444-WHERE,16
train,HAPPY,214143352672429-HAPPY,68
val,SMALL,1586194739868847-SMALL,20
train,ME,7227128162421703-ME,16
test,ME,08622704664772152-ME,12
test,MOTHER,961721877875569-MOTHER,31
test,THREE,32791810480357064-THREE,9
test,SEVEN,6502158737934256-SEVEN,67
train,BIG,02604937104585603-BIG,15
test,BLACK,47336529481868883-BLACK,28
test,COME,5556821084355537-COME,34
test,WHERE,5194308575650113-WHERE,30
test,RED,5097680550716814-RED,35
test,HAPPY,7496878770460367-HAPPY,13
train,SCHOOL,4910072855291485-SCHOOL,26
test,ONE,8193497627421649-ONE,28
train,FOUR,4031625934922094-FOUR,29
train,HOME,4506537239301789-HOME,61
train,GREEN,6691110697569587-GREEN,18
test,SCHOOL,22884594515032175-SCHOOL,36
train,BAD,41399470555461226-BAD,17
test,HELP,7353034835882497-HELP,28
train,COME,42561609545136014-COME,14
train,GREEN,6009435442583633-GREEN,24
test,BROTHER,4018868771129471-BROTHER,29
train,PURPLE,9034585761421232-PURPLE,17
train,HOT,9629943991422294-HOT,62
test,BAD,9781465154800835-BAD,17
train,PLEASE,44272136216354463-PLEASE,52
train,RED,42580213660496624-RED,17
test,LIKE,5814218831348728-LIKE,10
train,WATER,0020247732352038916-WATER,42
train,WHAT,5907336185978251-WHAT 2,22
val,SISTER,22679857147312932-SISTER,25
test,THREE,8161476726173267-THREE,15
test,ONE,6707757391877618-ONE,15
train,SCHOOL,8496754012096677-SCHOOL,28
train,BAD,5312089456577771-BAD,34
test,WHAT,46005351531190786-WHAT 2,19
test,FATHER,6392848823531765-FATHER,19
test,STOP,31921160795841863-STOP,55
test,RED,20216169582307075-RED,11
val,SCHOOL,02185976473813267-SCHOOL,26
test,DRINK,7536887152060914-DRINK,23
val,EIGHT,8995637916389443-EIGHT,38
test,THANK YOU,35156313213734314-THANK YOU,15
train,YELLOW,1327334508655844-YELLOW,23
train,DRINK,9757502559319415-DRINK,31
train,PURPLE,3122089299643398-PURPLE,24
test,BLACK,5944412238113308-BLACK,18
train,BIG,7436952444697802-BIG,23
val,NO,8323715285073319-NO,20
val,GREEN,6817762104884393-GREEN,14
train,SISTER,8618167243787549-SISTER,26
train,RED,3341535317096218-RED,14
train,WHY,10953401131792706-WHY,24
train,PLEASE,4782730717831809-PLEASE,29
test,TIRED,5590114591050288-TIRED,26
train,BOOK,5770462994666947-BOOK,22
test,YELLOW,24342127703671923-YELLOW,31
train,HELLO,180739946524912-seedHELLO,40
test,NAME,13831972157907857-NAME,37
val,SEVEN,009581512128078229-SEVEN,38
test,FATHER,24398038663875887-FATHER,19
test,FAMILY,9323754076872379-FAMILY,27
train,HOME,4691017505162802-seedHOME,42
val,NAME,9031073980623976-NAME,48
val,BLACK,2984516429954649-BLACK,23
val,BABY,14107125849434854-BABY,63
test,WANT,8411284507702201-WANT 2,29
train,PLEASE,9117047483562963-PLEASE,26
val,UNDERSTAND,8071758688201891-UNDERSTAND,18
val,NAME,1420689770801613-NAME,20
test,EAT,7769434916738955-EAT,20
test,LIKE,5534005644089397-LIKE,20
train,GO,7701619196687932-GO,29
val,SEVEN,6475057915821356-SEVEN,26
test,ONE,0776985513024675-ONE,12
train,LIKE,6263439546385057-seedLIKE,37
val,RED,811594066024065-RED,14
test,MOTHER,9402319659205312-MOTHER,11
test,SLEEP,8198688477414202-SLEEP,15
val,LOVE,23909248218883028-LOVE,30
test,BLACK,6852909234334481-BLACK,19
test,DRINK,06473784191201326-DRINK,31
train,EAT,7327271470470507-EAT,14
val,HELLO,020030442376253177-HELLO,17
test,EIGHT,31677735720761735-EIGHT,15
train,LOVE,285782838453037-LOVE,20
val,SORRY,15179467641851585-SORRY,19
train,HOW,948548155363955-HOW,27
train,BOOK,32682862970131943-BOOK,18
test,WHO,60520933432529-WHO,17
test,FATHER,27588243231893617-FATHER,34
train,WHY,8351529407222296-WHY,19
train,HELLO,5254351100197965-HELLO,15
test,ONE,8770966028259193-ONE,32
train,LEARN,16584929726965836-LEARN,19
train,LOVE,6414476924051264-LOVE,23
test,YES,7199652013477922-YES,31
test,NINE,1773388220025398-NINE,25
test,EIGHT,1652644700106638-EIGHT,22
train,HOT,18539733816419912-HOT,25
test,ORANGE,3867431474159333-ORANGE,14
train,HELP,6967335705063062-HELP,30
train,BLACK,497435935651124-BLACK,22
test,PLEASE,8835822739071177-PLEASE,27
train,GO,8354410716389704-GO,12
test,HOT,10331183924598131-HOT,17
test,FATHER,12317669745773419-FATHER,13
test,KNOW,683902846076992-KNOW,24
train,SIX,2279754462685024-SIX,16
